show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,studio
s5624,Movie,Semana Santa,Alejandra MÃ¡rquez Abella,"Tenoch Huerta, AnajosÃ© Aldrete, Esteban Ãvila, David Thornton, Jimena CuarÃ³n, Lakshmi Picazo",Mexico,31-Jan-17,2015,TV-MA,87 min,"Dramas, International Movies",A Wandering Star
s5627,Movie,O SilÃªncio do CÃ©u,Marco Dutra,"Leonardo Sbaraglia, Carolina Dieckmann, Chino DarÃ­n, Alvaro Armand Ugon, Mirella Pascual, Roberto SuÃ¡rez, Paula Cohen, Dylan Cortes, Priscila Bellora, Gabriela Freire, MarÃ­a Mendive",Brazil,25-Jan-17,2016,TV-MA,102 min,"Dramas, International Movies",Oriental Films
s5630,Movie,Pink,Aniruddha Roy Chowdhury,"Tapsee Pannu, Kirti Kulhari, Andrea Tariang, Amitabh Bachchan, Piyush Mishra, Angad Bedi, Vijay Varma, Raashul Tandon, Tushar Pandey, Dhritiman Chatterjee, Mamata Shankar",India,20-Jan-17,2016,TV-14,130 min,"Dramas, International Movies",ARD Degeto Film
s5633,Movie,Berlin Calling,Hannes StÃ¶hr,"Paul Kalkbrenner, Rita Lengyel, Corinna Harfouch, Araba Walton, Peter Schneider, Rolf Peter Kahl, Henriette MÃ¼ller, Udo Kroschwald, Megan Gay, Max Mauff",Germany,15-Jan-17,2008,TV-MA,105 min,"Dramas, International Movies, Music & Musicals",Sabotage Films GmbH
s5635,Movie,Stereo,Maximilian Erlenwein,"JÃ¼rgen Vogel, Moritz Bleibtreu, Petra Schmidt-Schaller, Georg Friedrich, Rainer Bock, Mark Zak, Helena SchÃ¶nfelder, Fabian Hinrichs",Germany,15-Jan-17,2014,TV-MA,91 min,"International Movies, Thrillers",Frisbeefilms
s5638,Movie,Clinical,Alistair Legrand,"Vinessa Shaw, Kevin Rahm, William Atherton, Aaron Stanford, Wilmer Calderon, Sydney Tamiia Poitier, India Eisley, Nestor Serrano",United States,13-Jan-17,2017,TV-MA,104 min,"Horror Movies, Thrillers",Campfire
s5645,Movie,Rampage: President Down,Uwe Boll,"Brendan Fletcher, Steve Baran, Ryan McDonell, Scott Patey, Loretta Walsh, Zain Meghji, Crystal Lowe",Canada,5-Jan-17,2016,TV-MA,100 min,"Action & Adventure, International Movies",Amok Productions
s5648,Movie,Autohead,Rohit Mittal,"Deepak Sampat, Ronjini Chakroborty, Vikrant Singh, Jhanvi Dwivedi, Ajay Mishra, Rohit Mittal, Sunny Banerjee, Ravidev Singh",India,1-Jan-17,2016,TV-MA,97 min,"Dramas, International Movies, Thrillers",Amit Verma Films
s5649,Movie,Bee Movie,"Steve Hickner, Simon J. Smith","Jerry Seinfeld, RenÃ©e Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta",United States,1-Jan-17,2007,PG,92 min,"Children & Family Movies, Comedies",DreamWorks Animation
s5652,Movie,Udta Punjab,Abhishek Chaubey,"Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj",India,1-Jan-17,2016,TV-MA,146 min,"Dramas, International Movies",Balaji Motion Pictures
